"Área Geográfica","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","",""
"Crosstab","","","","","","","","",""
"  de Provincia","","","","","","","","",""
"  por P: Población con discapacidad: Ninguna","","","","","","","","",""
"","","","","","","","","",""
"","Provincia","P: Población con discapacidad: Ninguna","","","","","","",""
""," Áncash, provincia: Pallasca","00 000 000 001 941","00 000 000 021 550","00 000 000 023 491","8.262738921289","","","",""
""," Áncash, provincia: Pomabamba","00 000 000 002 322","00 000 000 022 472","00 000 000 024 794","9.3651689924982","","","",""
""," Áncash, provincia: Recuay","00 000 000 002 349","00 000 000 014 836","00 000 000 017 185","13.668897294152","","","",""
""," Áncash, provincia: Santa","00 000 000 055 618","00 000 000 380 189","00 000 000 435 807","12.762071283848","","","",""
""," Áncash, provincia: Sihuas","00 000 000 002 442","00 000 000 024 529","00 000 000 026 971","9.0541692929443","","","",""
""," Áncash, provincia: Yungay","00 000 000 004 861","00 000 000 045 980","00 000 000 050 841","9.5611809366456","","","",""
""," Apurímac, provincia: Abancay","00 000 000 011 377","00 000 000 099 143","00 000 000 110 520","10.294064422729","","","",""
""," Apurímac, provincia: Andahuaylas","00 000 000 015 259","00 000 000 127 218","00 000 000 142 477","10.709798774539","","","",""
""," Apurímac, provincia: Antabamba","00 000 000 001 533","00 000 000 009 777","00 000 000 011 310","13.554376657825","","","",""
""," Apurímac, provincia: Aymaraes","00 000 000 003 036","00 000 000 021 271","00 000 000 024 307","12.490229152096","","","",""
""," Apurímac, provincia: Chincheros","00 000 000 004 415","00 000 000 040 832","00 000 000 045 247","9.7575529869384","","","",""
""," Apurímac, provincia: Cotabambas","00 000 000 005 221","00 000 000 045 435","00 000 000 050 656","10.30677511055","","","",""
""," Apurímac, provincia: Grau","00 000 000 003 002","00 000 000 018 240","00 000 000 021 242","14.132379248658","","","",""
""," Arequipa, provincia: Arequipa","00 000 000 119 434","00 000 000 961 201","00 000 001 080 635","11.05220541626","","","",""
""," Arequipa, provincia: Camaná","00 000 000 005 768","00 000 000 053 602","00 000 000 059 370","9.715344450059","","","",""
""," Arequipa, provincia: Caravelí","00 000 000 003 243","00 000 000 038 103","00 000 000 041 346","7.8435640690756","","","",""
""," Arequipa, provincia: Castilla","00 000 000 003 593","00 000 000 030 036","00 000 000 033 629","10.684230872164","","","",""
""," Arequipa, provincia: Caylloma","00 000 000 009 376","00 000 000 077 395","00 000 000 086 771","10.805453434903","","","",""
""," Arequipa, provincia: Condesuyos","00 000 000 001 521","00 000 000 014 597","00 000 000 016 118","9.4366546717955","","","",""
""," Arequipa, provincia: Islay","00 000 000 007 063","00 000 000 044 971","00 000 000 052 034","13.573817119576","","","",""
""," Arequipa, provincia: La Unión","00 000 000 001 472","00 000 000 011 355","00 000 000 012 827","11.475793248616","","","",""
""," Ayacucho, provincia: Cangallo","00 000 000 003 010","00 000 000 027 433","00 000 000 030 443","9.8873304207864","","","",""
""," Ayacucho, provincia: Huamanga","00 000 000 028 462","00 000 000 253 732","00 000 000 282 194","10.085969226844","","","",""
""," Ayacucho, provincia: Huanca Sancos","00 000 000 001 353","00 000 000 007 056","00 000 000 008 409","16.089903674634","","","",""
""," Ayacucho, provincia: Huanta","00 000 000 008 340","00 000 000 081 126","00 000 000 089 466","9.3219770639125","","","",""
""," Ayacucho, provincia: La Mar","00 000 000 005 726","00 000 000 064 927","00 000 000 070 653","8.1043975485825","","","",""
""," Ayacucho, provincia: Lucanas","00 000 000 006 202","00 000 000 045 126","00 000 000 051 328","12.083073566085","","","",""
""," Ayacucho, provincia: Parinacochas","00 000 000 003 555","00 000 000 024 104","00 000 000 027 659","12.852959253769","","","",""
""," Ayacucho, provincia: Páucar del Sara Sara","00 000 000 001 324","00 000 000 008 285","00 000 000 009 609","13.778749089395","","","",""
""," Ayacucho, provincia: Sucre","00 000 000 001 008","00 000 000 008 437","00 000 000 009 445","10.67231339333","","","",""
""," Ayacucho, provincia: Víctor Fajardo","00 000 000 002 494","00 000 000 017 615","00 000 000 020 109","12.40240688249","","","",""
""," Ayacucho, provincia: Vilcas Huamán","00 000 000 002 422","00 000 000 014 439","00 000 000 016 861","14.364509815551","","","",""
""," Cajamarca, provincia: Cajabamba","00 000 000 005 520","00 000 000 070 167","00 000 000 075 687","7.293194339847","","","",""
""," Cajamarca, provincia: Cajamarca","00 000 000 025 243","00 000 000 323 190","00 000 000 348 433","7.2447213668051","","","",""
""," Cajamarca, provincia: Celendín","00 000 000 006 661","00 000 000 072 423","00 000 000 079 084","8.4226897981893","","","",""
""," Cajamarca, provincia: Chota","00 000 000 012 127","00 000 000 130 857","00 000 000 142 984","8.4813685447323","","","",""
""," Cajamarca, provincia: Contumazá","00 000 000 003 484","00 000 000 024 209","00 000 000 027 693","12.580796591196","","","",""
""," Cajamarca, provincia: Cutervo","00 000 000 011 450","00 000 000 109 273","00 000 000 120 723","9.4845224190916","","","",""
""," Cajamarca, provincia: Hualgayoc","00 000 000 007 217","00 000 000 070 727","00 000 000 077 944","9.2592117417633","","","",""
""," Cajamarca, provincia: Jaén","00 000 000 017 547","00 000 000 167 885","00 000 000 185 432","9.4627680227792","","","",""
""," Cajamarca, provincia: San Ignacio","00 000 000 010 329","00 000 000 120 291","00 000 000 130 620","7.907671107028","","","",""
""," Cajamarca, provincia: San Marcos","00 000 000 003 145","00 000 000 044 958","00 000 000 048 103","6.5380537596408","","","",""
""," Cajamarca, provincia: San Miguel","00 000 000 005 155","00 000 000 040 888","00 000 000 046 043","11.196055860826","","","",""
""," Cajamarca, provincia: San Pablo","00 000 000 001 821","00 000 000 019 281","00 000 000 021 102","8.6295137901621","","","",""
""," Cajamarca, provincia: Santa Cruz","00 000 000 003 851","00 000 000 033 313","00 000 000 037 164","10.362178452266","","","",""
""," Cusco, provincia: Acomayo","00 000 000 003 289","00 000 000 019 651","00 000 000 022 940","14.337401918047","","","",""
""," Cusco, provincia: Anta","00 000 000 006 056","00 000 000 050 150","00 000 000 056 206","10.774650393196","","","",""
""," Cusco, provincia: Calca","00 000 000 007 809","00 000 000 055 346","00 000 000 063 155","12.364816720766","","","",""
""," Cusco, provincia: Canas","00 000 000 005 113","00 000 000 027 371","00 000 000 032 484","15.740056643271","","","",""
""," Cusco, provincia: Canchis","00 000 000 012 647","00 000 000 083 127","00 000 000 095 774","13.2050452106","","","",""
""," Cusco, provincia: Chumbivilcas","00 000 000 007 893","00 000 000 058 517","00 000 000 066 410","11.88525824424","","","",""
""," Cusco, provincia: Cusco","00 000 000 046 232","00 000 000 401 356","00 000 000 447 588","10.329141978784","","","",""
""," Cusco, provincia: Espinar","00 000 000 007 180","00 000 000 050 402","00 000 000 057 582","12.469174394776","","","",""
""," Cusco, provincia: La Convención","00 000 000 016 323","00 000 000 130 825","00 000 000 147 148","11.092913257401","","","",""
""," Cusco, provincia: Paruro","00 000 000 002 794","00 000 000 022 773","00 000 000 025 567","10.928149567802","","","",""
""," Cusco, provincia: Paucartambo","00 000 000 004 147","00 000 000 038 357","00 000 000 042 504","9.7567287784679","","","",""
""," Cusco, provincia: Quispicanchi","00 000 000 008 287","00 000 000 079 143","00 000 000 087 430","9.478439894773","","","",""
""," Cusco, provincia: Urubamba","00 000 000 005 194","00 000 000 055 545","00 000 000 060 739","8.5513426299412","","","",""
""," Huancavelica, provincia: Acobamba","00 000 000 002 600","00 000 000 035 608","00 000 000 038 208","6.8048576214405","","","",""
""," Huancavelica, provincia: Angaraes","00 000 000 004 313","00 000 000 044 894","00 000 000 049 207","8.7650131078912","","","",""
""," Huancavelica, provincia: Castrovirreyna","00 000 000 001 830","00 000 000 012 152","00 000 000 013 982","13.088256329567","","","",""
""," Huancavelica, provincia: Churcampa","00 000 000 002 911","00 000 000 029 627","00 000 000 032 538","8.9464625975782","","","",""
""," Huancavelica, provincia: Huancavelica","00 000 000 011 807","00 000 000 103 247","00 000 000 115 054","10.262137778782","","","",""
""," Huancavelica, provincia: Huaytará","00 000 000 002 292","00 000 000 014 955","00 000 000 017 247","13.28926769873","","","",""
""," Huancavelica, provincia: Tayacaja","00 000 000 007 681","00 000 000 073 722","00 000 000 081 403","9.4357701804602","","","",""
""," Huánuco, provincia: Ambo","00 000 000 004 332","00 000 000 046 548","00 000 000 050 880","8.5141509433962","","","",""
""," Huánuco, provincia: Dos De Mayo","00 000 000 003 528","00 000 000 029 730","00 000 000 033 258","10.607974021288","","","",""
""," Huánuco, provincia: Huacaybamba","00 000 000 001 233","00 000 000 015 318","00 000 000 016 551","7.4497009244154","","","",""
""," Huánuco, provincia: Huamalíes","00 000 000 006 020","00 000 000 046 019","00 000 000 052 039","11.568246891754","","","",""
""," Huánuco, provincia: Huánuco","00 000 000 027 736","00 000 000 265 661","00 000 000 293 397","9.4534027273626","","","",""
""," Huánuco, provincia: Lauricocha","00 000 000 001 677","00 000 000 017 236","00 000 000 018 913","8.8669169354412","","","",""
""," Huánuco, provincia: Leoncio Prado","00 000 000 012 972","00 000 000 114 821","00 000 000 127 793","10.150790731887","","","",""
""," Huánuco, provincia: Marañón","00 000 000 002 691","00 000 000 023 931","00 000 000 026 622","10.108181203516","","","",""
""," Huánuco, provincia: Pachitea","00 000 000 003 238","00 000 000 045 921","00 000 000 049 159","6.5867898045119","","","",""
""," Huánuco, provincia: Puerto Inca","00 000 000 002 342","00 000 000 030 196","00 000 000 032 538","7.197738029381","","","",""
""," Huánuco, provincia: Yarowilca","00 000 000 002 114","00 000 000 017 783","00 000 000 019 897","10.624717294064","","","",""
""," Ica, provincia: Chincha","00 000 000 023 041","00 000 000 203 072","00 000 000 226 113","10.190037724501","","","",""
""," Ica, provincia: Ica","00 000 000 042 242","00 000 000 349 277","00 000 000 391 519","10.789259269665","","","",""
""," Ica, provincia: Nazca","00 000 000 008 052","00 000 000 061 105","00 000 000 069 157","11.643073007794","","","",""
""," Ica, provincia: Palpa","00 000 000 001 615","00 000 000 011 617","00 000 000 013 232","12.205259975816","","","",""
""," Ica, provincia: Pisco","00 000 000 015 231","00 000 000 135 513","00 000 000 150 744","10.103884731731","","","",""
""," Junín, provincia: Chanchamayo","00 000 000 016 381","00 000 000 135 108","00 000 000 151 489","10.813326380133","","","",""
""," Junín, provincia: Chupaca","00 000 000 005 766","00 000 000 047 222","00 000 000 052 988","10.881709066204","","","",""
""," Junín, provincia: Concepción","00 000 000 006 200","00 000 000 049 391","00 000 000 055 591","11.152884459715","","","",""
""," Junín, provincia: Huancayo","00 000 000 059 243","00 000 000 486 372","00 000 000 545 615","10.858022598352","","","",""
""," Junín, provincia: Jauja","00 000 000 010 977","00 000 000 072 280","00 000 000 083 257","13.184476980915","","","",""
""," Junín, provincia: Junín","00 000 000 001 454","00 000 000 021 679","00 000 000 023 133","6.2853931612847","","","",""
""," Junín, provincia: Satipo","00 000 000 014 006","00 000 000 189 979","00 000 000 203 985","6.8661911415055","","","",""
""," Junín, provincia: Tarma","00 000 000 010 791","00 000 000 078 799","00 000 000 089 590","12.044871079362","","","",""
""," Junín, provincia: Yauli","00 000 000 003 987","00 000 000 036 403","00 000 000 040 390","9.8712552612033","","","",""
""," La Lbertad, provincia: Ascope","00 000 000 012 983","00 000 000 102 803","00 000 000 115 786","11.21292729691","","","",""
""," La Lbertad, provincia: Bolívar","00 000 000 001 130","00 000 000 013 327","00 000 000 014 457","7.8162827695926","","","",""
""," La Lbertad, provincia: Chepén","00 000 000 009 007","00 000 000 069 411","00 000 000 078 418","11.48588334311","","","",""
""," La Lbertad, provincia: Gran Chimú","00 000 000 001 763","00 000 000 025 129","00 000 000 026 892","6.5558530417968","","","",""
""," La Lbertad, provincia: Julcán","00 000 000 001 892","00 000 000 026 132","00 000 000 028 024","6.7513559805881","","","",""
""," La Lbertad, provincia: Otuzco","00 000 000 004 362","00 000 000 073 500","00 000 000 077 862","5.6022193110888","","","",""
""," La Lbertad, provincia: Pacasmayo","00 000 000 009 989","00 000 000 092 908","00 000 000 102 897","9.7077660184456","","","",""
""," La Lbertad, provincia: Pataz","00 000 000 006 006","00 000 000 070 097","00 000 000 076 103","7.8919359289384","","","",""
""," La Lbertad, provincia: Sánchez Carrión","00 000 000 008 268","00 000 000 136 137","00 000 000 144 405","5.7255635192687","","","",""
""," La Lbertad, provincia: Santiago de Chuco","00 000 000 003 791","00 000 000 047 105","00 000 000 050 896","7.4485224772084","","","",""
""," La Lbertad, provincia: Trujillo","00 000 000 094 134","00 000 000 875 882","00 000 000 970 016","9.7043760102926","","","",""
""," La Lbertad, provincia: Virú","00 000 000 006 687","00 000 000 085 637","00 000 000 092 324","7.2429704085612","","","",""
""," Lambayeque, provincia: Chiclayo","00 000 000 086 830","00 000 000 712 845","00 000 000 799 675","10.858161127958","","","",""
""," Lambayeque, provincia: Ferreñafe","00 000 000 010 320","00 000 000 087 095","00 000 000 097 415","10.593851049633","","","",""
""," Lambayeque, provincia: Lambayeque","00 000 000 023 295","00 000 000 276 875","00 000 000 300 170","7.760602325349","","","",""
""," Lima, provincia: Barranca","00 000 000 016 347","00 000 000 128 034","00 000 000 144 381","11.322126872649","","","",""
""," Lima, provincia: Cajatambo","00 000 000 000 979","00 000 000 005 580","00 000 000 006 559","14.926055801189","","","",""
""," Lima, provincia: Cañete","00 000 000 025 698","00 000 000 214 315","00 000 000 240 013","10.706920041831","","","",""
""," Lima, provincia: Canta","00 000 000 001 218","00 000 000 010 330","00 000 000 011 548","10.547280914444","","","",""
""," Lima, provincia: Huaral","00 000 000 019 960","00 000 000 163 938","00 000 000 183 898","10.853842891168","","","",""
""," Lima, provincia: Huarochirí","00 000 000 006 846","00 000 000 051 299","00 000 000 058 145","11.774013242755","","","",""
""," Lima, provincia: Huaura","00 000 000 026 182","00 000 000 201 503","00 000 000 227 685","11.499220414169","","","",""
""," Lima, provincia: Lima","00 000 000 949 969","00 000 007 625 005","00 000 008 574 974","11.078389275583","","","",""
""," Lima, provincia: Oyón","00 000 000 001 780","00 000 000 015 959","00 000 000 017 739","10.034387507751","","","",""
""," Lima, provincia: Yauyos","00 000 000 002 585","00 000 000 017 878","00 000 000 020 463","12.632556321165","","","",""
""," Loreto, provincia: Alto Amazonas","00 000 000 009 535","00 000 000 113 190","00 000 000 122 725","7.7694031370951","","","",""
""," Loreto, provincia: Datem del Marañón","00 000 000 002 926","00 000 000 045 556","00 000 000 048 482","6.0352295697372","","","",""
""," Loreto, provincia: Loreto","00 000 000 004 079","00 000 000 058 358","00 000 000 062 437","6.5329852491311","","","",""
""," Loreto, provincia: Mariscal Ramón Castilla","00 000 000 002 951","00 000 000 046 121","00 000 000 049 072","6.0136126507988","","","",""
""," Loreto, provincia: Maynas","00 000 000 041 657","00 000 000 438 209","00 000 000 479 866","8.6809651027579","","","",""
""," Loreto, provincia: Putumayo","00 000 000 000 473","00 000 000 007 307","00 000 000 007 780","6.0796915167095","","","",""
""," Loreto, provincia: Requena","00 000 000 004 559","00 000 000 053 952","00 000 000 058 511","7.7916972876895","","","",""
""," Loreto, provincia: Ucayali","00 000 000 004 214","00 000 000 050 423","00 000 000 054 637","7.7127221479949","","","",""
""," Madre de Dios prov. de Manu","00 000 000 001 558","00 000 000 016 991","00 000 000 018 549","8.3993746293601","","","",""
""," Madre de Dios prov. de Tahuamanu","00 000 000 000 864","00 000 000 010 183","00 000 000 011 047","7.8211279080293","","","",""
""," Madre de Dios prov. de Tambopata","00 000 000 009 818","00 000 000 101 656","00 000 000 111 474","8.8074349175593","","","",""
""," Moquegua, provincia: General Sánchez Cerro","00 000 000 002 180","00 000 000 012 685","00 000 000 014 865","14.665321224353","","","",""
""," Moquegua, provincia: Ilo","00 000 000 008 848","00 000 000 065 801","00 000 000 074 649","11.852804458198","","","",""
""," Moquegua, provincia: Mariscal Nieto","00 000 000 009 344","00 000 000 076 005","00 000 000 085 349","10.947990017458","","","",""
""," Pasco, provincia: Daniel Alcides Carrión","00 000 000 004 821","00 000 000 038 759","00 000 000 043 580","11.062413951354","","","",""
""," Pasco, provincia: Oxapampa","00 000 000 007 708","00 000 000 079 762","00 000 000 087 470","8.8121641705728","","","",""
""," Pasco, provincia: Pasco","00 000 000 012 363","00 000 000 110 652","00 000 000 123 015","10.049993903183","","","",""
""," Piura, provincia: Ayabaca","00 000 000 008 464","00 000 000 110 823","00 000 000 119 287","7.0954923839144","","","",""
""," Piura, provincia: Huancabamba","00 000 000 009 016","00 000 000 102 485","00 000 000 111 501","8.0860261342948","","","",""
""," Piura, provincia: Morropón","00 000 000 016 899","00 000 000 145 128","00 000 000 162 027","10.42974319095","","","",""
""," Piura, provincia: Paita","00 000 000 011 847","00 000 000 118 045","00 000 000 129 892","9.1206540818526","","","",""
""," Piura, provincia: Piura","00 000 000 070 818","00 000 000 728 503","00 000 000 799 321","8.859769729558","","","",""
""," Piura, provincia: Sechura","00 000 000 006 546","00 000 000 072 631","00 000 000 079 177","8.267552445786","","","",""
""," Piura, provincia: Sullana","00 000 000 031 067","00 000 000 280 387","00 000 000 311 454","9.9748277434228","","","",""
""," Piura, provincia: Talara","00 000 000 013 906","00 000 000 130 244","00 000 000 144 150","9.6468955948665","","","",""
""," Provincia Constitucional del Callao","00 000 000 110 210","00 000 000 884 284","00 000 000 994 494","11.082017588844","","","",""
""," Puno, provincia: Azángaro","00 000 000 015 137","00 000 000 095 255","00 000 000 110 392","13.71204435104","","","",""
""," Puno, provincia: Carabaya","00 000 000 006 237","00 000 000 067 085","00 000 000 073 322","8.5063146122583","","","",""
""," Puno, provincia: Chucuito","00 000 000 011 051","00 000 000 077 951","00 000 000 089 002","12.416574908429","","","",""
""," Puno, provincia: El Collao","00 000 000 010 323","00 000 000 053 555","00 000 000 063 878","16.160493440621","","","",""
""," Puno, provincia: Huancané","00 000 000 009 761","00 000 000 047 890","00 000 000 057 651","16.931189398276","","","",""
""," Puno, provincia: Lampa","00 000 000 005 606","00 000 000 035 250","00 000 000 040 856","13.721362835324","","","",""
""," Puno, provincia: Melgar","00 000 000 009 886","00 000 000 057 252","00 000 000 067 138","14.724894992404","","","",""
""," Puno, provincia: Moho","00 000 000 003 733","00 000 000 016 020","00 000 000 019 753","18.898395180479","","","",""
""," Puno, provincia: Puno","00 000 000 030 577","00 000 000 188 917","00 000 000 219 494","13.930676920554","","","",""
""," Puno, provincia: San Antonio de Putina","00 000 000 004 467","00 000 000 031 646","00 000 000 036 113","12.369506825797","","","",""
""," Puno, provincia: San Román","00 000 000 033 801","00 000 000 273 616","00 000 000 307 417","10.995162922024","","","",""
""," Puno, provincia: Sandia","00 000 000 007 390","00 000 000 043 352","00 000 000 050 742","14.56387213748","","","",""
""," Puno, provincia: Yunguyo","00 000 000 005 900","00 000 000 031 039","00 000 000 036 939","15.972278621511","","","",""
""," San Martín, provincia: Bellavista","00 000 000 004 150","00 000 000 050 883","00 000 000 055 033","7.5409299874621","","","",""
""," San Martín, provincia: El Dorado","00 000 000 002 226","00 000 000 034 526","00 000 000 036 752","6.0568132346539","","","",""
""," San Martín, provincia: Huallaga","00 000 000 002 626","00 000 000 024 880","00 000 000 027 506","9.5470079255435","","","",""
""," San Martín, provincia: Lamas","00 000 000 007 798","00 000 000 073 723","00 000 000 081 521","9.5656333950761","","","",""
""," San Martín, provincia: Mariscal Cáceres","00 000 000 005 804","00 000 000 058 822","00 000 000 064 626","8.980905517903","","","",""
""," San Martín, provincia: Moyobamba","00 000 000 010 118","00 000 000 112 247","00 000 000 122 365","8.2687042863564","","","",""
""," San Martín, provincia: Picota","00 000 000 003 889","00 000 000 036 656","00 000 000 040 545","9.5918115673943","","","",""
""," San Martín, provincia: Rioja","00 000 000 009 829","00 000 000 112 715","00 000 000 122 544","8.0207925316621","","","",""
""," San Martín, provincia: San Martín","00 000 000 020 183","00 000 000 172 912","00 000 000 193 095","10.452368005386","","","",""
""," San Martín, provincia: Tocache","00 000 000 006 866","00 000 000 062 528","00 000 000 069 394","9.8942271666138","","","",""
""," Tacna, provincia: Candarave","00 000 000 001 026","00 000 000 005 076","00 000 000 006 102","16.814159292035","","","",""
""," Tacna, provincia: Jorge Basadre","00 000 000 000 991","00 000 000 009 782","00 000 000 010 773","9.198923234011","","","",""
""," Tacna, provincia: Tacna","00 000 000 034 839","00 000 000 271 524","00 000 000 306 363","11.371804036388","","","",""
""," Tacna, provincia: Tarata","00 000 000 001 151","00 000 000 004 943","00 000 000 006 094","18.887430259271","","","",""
""," Tumbes, provincia: Contralmirante Villar","00 000 000 001 696","00 000 000 019 361","00 000 000 021 057","8.0543287267892","","","",""
""," Tumbes, provincia: Tumbes","00 000 000 015 732","00 000 000 139 230","00 000 000 154 962","10.152166337554","","","",""
""," Tumbes, provincia: Zarumilla","00 000 000 004 085","00 000 000 044 759","00 000 000 048 844","8.3633609041029","","","",""
""," Ucayali, provincia: Atalaya","00 000 000 002 356","00 000 000 046 968","00 000 000 049 324","4.7765793528505","","","",""
""," Ucayali, provincia: Coronel Portillo","00 000 000 034 165","00 000 000 350 003","00 000 000 384 168","8.8932446221445","","","",""
""," Ucayali, provincia: Padre Abad","00 000 000 005 205","00 000 000 054 902","00 000 000 060 107","8.6595571231304","","","",""
""," Ucayali, provincia: Purús","00 000 000 000 175","00 000 000 002 685","00 000 000 002 860","6.1188811188811","","","",""
""," Total","00 000 003 051 612","00 000 026 330 272","00 000 029 381 884","10.386032427328","","","",""
"","","","","","","","","",""
"Fuente: Censos Nacionales de Población y Vivienda 2017","","","","","","","","",""
"Instituto Nacional de Estadística e Informática (INEI) - PERÚ","","","","","","","","",""
"","","","","","","","","",""
